Z,sSFR_0_1Gyr_percentile50,mass_stellar_percentile50,RA,DEC
0.0366,-12.52,10.5,139.8518212,2.7069309
0.0843,-12.97,10.44,140.4672362,2.749302
0.0841,-10.32,10.4,140.4824982,2.769671
0.0863,-11.92,10.32,140.5005782,2.7321635
0.0866,-11.77,10.55,140.5195444,2.7624022
0.0887,-10.92,10.63,140.5326554,2.7350975
0.0855,-11.17,10.91,140.8332215,2.8242144
0.0877,-12.07,10.45,140.8287234,2.92733
0.0985,-11.57,10.26,129.1185696,2.4880587
0.0496,-10.67,10.44,130.1486743,2.4770414
0.0497,-12.12,10.45,130.157527,2.6196622
0.096,-9.725,10.24,130.7035449,2.6608018
0.0508,-11.77,10.46,130.6872307,2.5830694
0.0981,-10.97,10.46,130.8229858,2.6707227
0.0259,-11.67,10.81,130.9627955,2.7138018
0.0502,-10.32,10.42,130.8974982,2.6696709
0.0767,-11.62,10.22,131.4394248,2.5719922
0.0766,-12.07,10.67,131.6700313,2.6330801
0.0764,-10.12,10.45,131.7153321,2.7636657
0.0739,-11.47,10.47,131.7370122,2.7587247
0.0285,-11.62,10.64,131.8277795,2.7621998
0.0772,-10.17,10.37,131.9529498,2.6961249
0.0769,-10.17,10.44,132.3307268,2.6948599
0.0597,-12.57,10.32,132.5280744,2.6517075
0.0599,-12.27,10.33,132.5046454,2.6543923
0.0282,-10.47,10.34,132.8756843,2.7327327
0.029,-10.02,10.21,133.0422171,2.8402853
0.0878,-11.82,10.66,134.3735489,2.9001826
0.0544,-10.47,10.62,134.7134851,2.9129374
0.0997,-10.37,10.92,136.5258677,2.9619153
0.0933,-11.67,10.67,137.0693999,2.9751924
0.0995,-12.22,10.79,137.1378459,2.9466655
0.0263,-11.77,10.92,137.7139436,2.9770627
0.0979,-12.02,10.86,137.8415503,2.9865921
0.0606,-9.875,10.27,129.6098589,2.9845342
0.0812,-11.77,10.56,130.0536232,2.9217359
0.0809,-11.12,10.66,130.067589,2.9498973
0.0769,-10.87,10.36,131.4549537,2.9977206
0.0862,-12.12,10.27,140.4834044,2.7130067
0.0848,-12.22,10.93,140.5129924,2.6938963
0.0804,-12.12,10.8,130.0575639,2.3172745
0.05,-12.12,10.91,130.1233885,2.3744769
0.0762,-10.17,10.41,131.197605,2.4566324
0.0496,-10.67,10.35,131.2467964,2.4763879
0.0764,-12.02,10.84,131.3448356,2.52392
0.0776,-12.42,10.27,131.3647691,2.4658238
0.0751,-9.975,10.46,131.4605918,2.5098196
0.0774,-9.825,10.27,131.6569709,2.4509381
0.0281,-12.02,11.11,131.6832232,2.5374134
0.0592,-12.57,10.71,132.4866823,2.5699687
0.0769,-12.22,10.7,133.2537453,2.5683483
0.0869,-11.72,10.34,133.663773,2.6964562
0.0995,-9.975,10.49,136.683849,2.7733169
0.0999,-10.37,10.59,136.7370348,2.8074031
0.0996,-11.72,10.49,136.7791854,2.8138199
0.0979,-12.22,10.33,137.7160851,2.875127
0.0508,-11.32,10.67,137.9099348,2.9165887
0.092,-11.87,10.71,138.2128194,2.9917139
0.0716,-11.02,10.71,138.4881697,2.9600677
0.0722,-10.92,10.33,138.4930042,2.9026639
0.0718,-9.325,10.25,138.5153206,2.9115546
0.0892,-9.275,10.41,138.9627667,2.9983845
0.0997,-10.62,10.85,139.0116772,2.8634773
0.0859,-11.77,10.9,139.7396828,2.9396503
0.0857,-11.52,10.63,140.6042597,2.9972606
0.0819,-9.825,10.52,129.259079,2.7600215
0.0826,-10.22,10.57,129.2540245,2.6836087
0.0823,-12.42,11.08,129.2673893,2.7545911
0.0818,-10.27,10.37,129.2804304,2.7899356
0.0819,-11.97,10.69,129.3741554,2.8120382
0.067,-9.725,10.38,130.1296035,2.6785704
0.0785,-11.62,10.82,130.6999896,2.9217469
0.0785,-11.32,11.07,130.8189688,2.9265192
0.0772,-11.57,10.33,131.0330646,2.9453749
0.0767,-12.17,10.49,131.0806635,2.8350373
0.0766,-10.97,10.43,131.2118435,2.8308139
0.0788,-10.92,10.58,131.3457405,2.9648384
0.0784,-11.62,10.92,131.3301236,2.9252488
0.0979,-9.925,10.32,131.4407008,2.8180459
0.0768,-11.22,10.22,131.4262078,2.9233368
0.0982,-9.825,10.45,131.6695588,2.909306
0.0655,-10.87,10.47,131.7260155,2.9157757
0.0592,-11.37,10.67,131.9666024,2.9229331
0.0586,-10.62,10.33,131.9903648,2.8899067
0.0767,-10.57,10.95,132.0285805,2.8309288
0.0663,-11.57,10.78,132.1825174,2.8501612
0.0595,-11.62,10.27,132.4032564,2.8632523
0.0603,-9.675,10.72,132.4798635,2.8981475
0.0966,-9.825,10.23,132.9562669,2.9643876
0.0985,-9.775,10.36,133.8196676,2.9561485
0.0874,-11.07,10.86,134.5300661,2.9942238
0.055,-11.77,10.75,140.6288551,-0.8594549
0.0965,-10.32,10.77,132.0168852,-0.0357816
0.0964,-12.52,11.02,132.195786,-0.0115107
0.0848,-11.72,10.36,129.1989617,-0.498656
0.079,-12.07,10.72,129.3824975,-0.4617835
0.0801,-10.27,10.4,129.3874545,-0.4644229
0.0791,-11.67,10.48,129.412279,-0.5862879
0.0794,-10.27,10.3,129.4642751,-0.4825483
0.0854,-10.57,10.63,129.5952058,-0.4454125
0.0506,-9.875,10.45,129.82867229,-0.61208574
0.0509,-9.975,10.65,129.8209409,-0.6135503
0.0805,-12.37,10.63,129.7228593,-0.5902712
0.0305,-10.17,10.44,130.6671707,-0.5629971
0.0295,-12.22,10.88,130.9384316,-0.5346177
0.0522,-12.22,11.01,131.0713898,-0.4249198
0.0782,-12.02,10.5,131.2885365,-0.5335692
0.0726,-11.22,10.48,132.5485068,-0.567939
0.0709,-12.22,10.51,134.5624306,-0.4678301
0.0707,-9.875,10.33,134.5650618,-0.4882889
0.0404,-10.12,10.33,135.1673953,-0.4867571
0.0888,-9.925,10.29,135.5041701,-0.5645685
0.0935,-10.37,10.28,135.9899931,-0.4341972
0.0277,-10.37,10.43,136.3049177,-0.4965091
0.078,-10.72,10.66,137.1895548,-0.4723472
0.0933,-12.22,10.82,137.2715652,-0.5144359
0.0701,-10.07,10.53,137.4200367,-0.466201
0.0482,-11.52,10.36,137.4683171,-0.5046589
0.0878,-10.22,10.33,137.7098314,-0.5513257
0.0881,-11.32,10.28,137.848502,-0.4256513
0.054,-10.32,10.53,138.7040254,-0.5926237
0.0701,-12.22,10.99,138.6965275,-0.4794932
0.0959,-9.975,10.24,139.7639256,-0.4962811
0.0561,-10.37,10.21,140.4916046,-0.59643
0.0562,-10.32,10.56,140.5406602,-0.5395594
0.0878,-10.22,11.06,140.594432,-0.4888251
0.0536,-10.92,10.49,140.936297,-0.5702621
0.0561,-10.72,10.49,140.9366625,-0.5179577
0.0282,-9.775,10.27,134.4472689,-0.1999938
0.0352,-11.12,10.29,129.3818984,-0.0448886
0.0376,-10.52,10.3,130.0784414,-0.0028772
0.0509,-10.22,10.28,130.2369319,-0.1207958
0.0519,-10.07,10.42,130.6136403,-0.1451481
0.0689,-10.82,10.34,130.9017504,-0.161396
0.0522,-10.32,10.26,131.4120117,-0.1031382
0.0707,-12.57,10.78,134.7884409,-0.1684353
0.0527,-11.37,10.96,134.9453376,-0.0055619
0.0536,-11.97,10.75,135.7599788,-0.2004605
0.0966,-10.27,10.21,135.7851442,-0.0358392
0.0764,-9.825,10.26,136.4382781,-0.1932997
0.095,-10.07,10.36,136.6205141,-0.1744
0.094,-11.37,10.8,136.7233895,-0.1297954
0.0937,-9.925,10.93,136.8045922,-0.0563523
0.0942,-11.52,10.33,137.0428967,-0.0904741
0.076,-10.22,10.77,137.2861742,-0.1366992
0.0703,-9.925,10.47,137.4179753,-0.1080483
0.0929,-9.925,10.26,137.7906355,-0.0732555
0.0879,-11.27,11.15,139.109692,-0.1250842
0.0873,-12.37,10.68,139.1278854,-0.1603882
0.0576,-11.92,10.35,139.4848946,-0.1013666
0.0871,-11.02,10.49,140.1823647,-0.022803
0.0878,-11.62,11.06,140.3545361,-0.0621288
0.0546,-10.47,10.25,140.7314314,-0.0620088
0.0559,-10.97,10.37,140.934913,-0.1872143
0.0701,-11.62,10.3,140.9681036,-0.0224547
0.0707,-10.42,10.53,140.966039,-0.0183219
0.0809,-11.62,10.83,129.5316067,0.4096625
0.0772,-12.37,10.86,129.5521481,0.4163977
0.0785,-10.17,10.77,129.6996083,0.3260321
0.0779,-10.32,10.52,129.7019908,0.3891604
0.0786,-10.37,10.65,129.7115299,0.3482468
0.0775,-10.57,10.55,130.0144131,0.3666445
0.079,-11.72,11.01,130.6023375,0.2555597
0.0503,-10.92,10.92,130.9724779,0.3524463
0.053,-10.42,10.74,132.1901053,0.2915446
0.0513,-10.92,10.54,132.5066701,0.2257827
0.0533,-10.72,10.88,132.6321149,0.3190379
0.0521,-12.57,11.2,132.71125636,0.37329313
0.0409,-12.82,11.06,132.7907988,0.2535459
0.0523,-11.32,10.26,132.8101462,0.3037364
0.0525,-11.02,10.31,132.9022294,0.2731468
0.0504,-9.875,10.42,133.4432136,0.2145608
0.078,-10.22,10.4,133.4537042,0.3324728
0.0527,-9.825,10.32,135.47317726,0.39555262
0.0523,-12.22,10.3,135.4896595,0.405058
0.0565,-12.42,10.38,135.4906136,0.2841229
0.0533,-12.82,10.56,135.9875125,0.2246995
0.0991,-10.07,10.22,136.377419,0.4143662
0.095,-12.02,10.77,136.7517634,0.2154563
0.0958,-12.57,10.99,136.8128976,0.3325014
0.0699,-10.32,10.34,136.8845077,0.3313465
0.0697,-12.37,10.91,137.2966436,0.3985219
0.0693,-9.975,10.36,137.326874,0.4059033
0.0702,-10.17,10.85,137.7870213,0.3114589
0.0542,-11.57,10.28,137.880512,0.401893
0.0542,-12.97,10.81,137.9995345,0.3389671
0.0535,-12.97,10.65,138.0617411,0.3117793
0.0876,-10.02,10.38,138.1066614,0.3466471
0.054,-11.82,10.33,138.11367,0.3037044
0.0544,-10.47,10.61,138.15123729,0.30950285
0.0529,-12.37,10.92,138.2856398,0.2378912
0.08,-10.92,10.22,138.3453483,0.2664344
0.0877,-11.67,10.45,138.5436231,0.3661942
0.0527,-11.82,10.35,138.5799085,0.3848816
0.0879,-12.12,10.5,138.6036834,0.3630311
0.0693,-11.27,10.52,138.890558,0.3172791
0.0702,-12.32,10.6,138.9764547,0.2386887
0.0566,-11.02,10.92,139.0380498,0.2965342
0.054,-10.22,10.52,139.3414259,0.3219758
0.0548,-11.67,10.68,139.396464,0.3251605
0.0912,-11.17,10.24,139.6526389,0.347551
0.0606,-12.42,10.28,140.5305848,0.3990155
0.0735,-12.37,10.86,140.9248091,0.3246623
0.0779,-10.52,11.12,129.8529578,0.6891499
0.0785,-11.02,10.25,130.4287611,0.6825258
0.0707,-10.72,10.23,130.7101839,0.6984296
0.097,-12.57,10.89,130.8792623,0.7258493
0.0582,-10.67,10.84,131.9498716,0.6537059
0.0426,-10.92,10.62,132.5516038,0.6568009
0.0877,-11.17,10.52,132.6937062,0.6850419
0.0873,-12.57,11.04,132.7609491,0.6526985
0.0862,-12.22,10.57,132.7632874,0.6689695
0.0857,-10.87,10.44,132.7613725,0.6614179
0.0409,-9.825,10.51,133.4060778,0.7360183
0.0411,-11.02,10.69,133.4136257,0.7582162
0.0876,-11.87,10.45,134.1362828,0.7057695
0.0524,-10.42,10.34,134.1522031,0.7784314
0.0718,-9.375,10.51,134.4502656,0.7781934
0.0523,-10.02,10.46,134.6191824,0.6371667
0.0706,-12.97,11.06,135.1411308,0.7601276
0.0708,-11.97,10.38,135.1445262,0.7579684
0.0769,-12.52,10.54,136.1737652,0.7004906
0.07,-12.37,10.81,136.379855,0.8263903
0.0533,-12.27,10.48,136.4749303,0.6691349
0.0534,-11.62,10.26,137.2458837,0.6339571
0.0394,-10.27,10.44,137.2979634,0.8354469
0.0982,-9.825,10.22,137.4991904,0.6304797
0.0392,-10.07,10.33,138.0333069,0.784837
0.0551,-10.02,10.28,138.5471116,0.8182284
0.0382,-10.02,10.41,139.0572675,0.700582
0.0875,-9.875,10.21,139.5925337,0.6392831
0.0881,-10.07,10.3,139.7695903,0.7508986
0.0889,-11.92,11.04,139.9690986,0.8338115
0.0879,-10.67,10.54,140.2956551,0.8173065
0.0877,-9.825,10.29,140.3826911,0.7476476
0.0564,-10.27,10.27,140.9033228,0.7483252
0.0651,-12.27,10.35,140.1794834,-1.765146
0.0879,-10.22,10.62,140.7155509,-1.7766962
0.0708,-10.12,10.63,140.8549461,-1.6928181
0.0879,-12.37,10.64,140.7190208,-1.3442423
0.0701,-10.57,10.67,140.7614275,-1.262155
0.0893,-11.97,10.5,139.989349,-1.9244156
0.0894,-10.52,10.48,140.3342803,-1.9323892
0.0962,-10.97,10.6,140.0447156,-1.5005746
0.0546,-12.07,10.33,140.6560068,-1.4832676
0.0546,-12.17,10.74,140.8367007,-1.5679453
0.0638,-9.875,10.3,140.8718992,-1.5056454
0.0544,-11.17,10.79,140.5422553,-1.0410206
0.055,-12.37,10.42,140.5663947,-1.0501467
0.0601,-11.37,10.29,129.2550008,1.0403105
0.0525,-11.12,10.46,135.4738651,0.3936184
0.0509,-9.775,10.38,129.2884355,-1.9882712
0.0529,-10.82,10.47,129.2994408,-1.9696775
0.0396,-10.87,10.42,129.4798998,-1.8838264
0.0854,-11.82,10.72,129.54078974,-1.8764854
0.0392,-11.82,10.68,129.7553855,-1.9539596
0.0392,-11.02,10.38,129.7581227,-1.9535516
0.0385,-11.17,10.28,129.6483403,-1.8908511
0.0826,-11.32,10.38,129.8940723,-1.9020768
0.0998,-12.07,11.04,130.760263,-1.8991415
0.0863,-11.57,10.35,131.210667,-1.925022
0.0824,-11.67,10.54,131.4961168,-1.9460577
0.0815,-9.775,10.65,132.1007665,-1.9503741
0.0852,-10.42,10.9,129.0337761,-1.4543123
0.031,-12.97,11.01,129.1622898,-1.531624
0.0796,-10.62,10.4,129.3805656,-1.4723184
0.0799,-11.82,10.56,129.3503526,-1.6100748
0.0499,-11.07,10.67,129.8669106,-1.5131829
0.0477,-10.92,10.71,129.9518761,-1.4801968
0.05,-12.42,11.03,129.9839497,-1.5078965
0.0881,-10.37,10.58,130.0565758,-1.4442037
0.088,-11.42,10.25,130.0614256,-1.4968117
0.0505,-12.07,10.54,130.201428,-1.5852562
0.0824,-10.42,10.55,130.5814076,-1.4836834
0.086,-10.57,10.34,130.6826588,-1.5808057
0.0863,-12.37,11.02,130.8821608,-1.4713432
0.0819,-12.37,10.54,131.180388,-1.5796532
0.0825,-12.07,10.34,131.1852992,-1.6331534
0.0902,-12.17,10.91,131.380989,-1.5603345
0.0867,-10.22,10.48,131.9313682,-1.5912135
0.0998,-10.77,10.64,132.1107774,-1.6046838
0.0566,-10.47,10.28,132.4601069,-1.6892451
0.0694,-11.02,10.68,132.9295354,-1.5551161
0.048,-12.27,11.03,133.287858,-1.6485197
0.0472,-11.37,10.59,133.2845354,-1.6475468
0.0485,-11.47,10.61,133.2470561,-1.7036202
0.0472,-12.12,10.39,133.3812141,-1.700015
0.0598,-9.225,10.44,134.0743931,-1.635363
0.0966,-10.32,10.42,136.1261353,-1.8421051
0.0399,-12.27,11.17,137.049157,-1.8021014
0.0774,-10.57,10.72,137.4162185,-1.7097745
0.0397,-10.12,10.29,138.2574522,-1.8986963
0.0699,-10.22,10.63,138.3345548,-1.8148769
0.089,-10.12,10.53,138.364892,-1.8474905
0.0983,-10.42,10.22,138.4173178,-1.8753004
0.0399,-10.32,10.36,138.440442,-1.8577648
0.089,-11.67,10.36,138.5061356,-1.9061232
0.089,-10.97,11.18,138.5050107,-1.8456164
0.0746,-11.87,10.64,138.5985592,-1.8816654
0.0535,-11.82,10.39,138.9401988,-1.9301005
0.0552,-11.97,10.22,139.0476051,-1.833717
0.055,-11.97,10.53,139.1115403,-1.8519919
0.0542,-10.07,10.24,139.1777587,-1.9511978
0.055,-12.97,11.11,139.1715013,-1.9415198
0.0566,-11.72,10.71,139.2111295,-1.9468995
0.0548,-10.72,10.25,139.3496597,-1.8449691
0.0969,-12.22,10.34,139.833307,-1.9392482
0.0807,-10.27,10.75,129.0458501,-1.1457398
0.0872,-9.875,10.21,129.1661053,-1.1476622
0.0798,-12.17,10.49,129.2922287,-1.0176532
0.0828,-12.27,10.3,129.3407386,-1.0653206
0.083,-10.12,10.95,129.5124339,-1.1218235
0.0837,-10.92,10.98,129.5599599,-1.1329578
0.0524,-10.07,10.47,129.6105125,-1.1926172
0.0818,-12.12,10.49,129.5799264,-1.0297606
0.0826,-11.47,10.28,129.5896517,-1.1494501
0.0521,-9.925,10.57,130.082389,-1.1156015
0.0889,-10.67,10.34,130.3485821,-1.1993667
0.0567,-12.42,10.29,130.6150281,-1.1515384
0.0568,-10.42,10.65,131.0707643,-1.1898801
0.0976,-10.02,10.27,133.0287136,-1.2103181
0.0973,-10.22,10.56,133.0224556,-1.1820917
0.0993,-12.12,10.47,133.1869799,-1.1872723
0.0987,-11.87,10.62,133.2406213,-1.1309635
0.0974,-12.27,10.44,133.239771135,-1.13230031
0.0992,-10.52,10.82,133.1515472,-1.306773
0.0993,-10.52,10.4,133.2184491,-1.2327248
0.0989,-10.37,10.23,133.330722,-1.2220587
0.0994,-10.52,10.45,133.3001552,-1.3277761
0.0602,-10.72,10.55,133.4099849,-1.2366339
0.0681,-11.37,10.73,133.6175457,-1.2860491
0.0706,-9.725,10.28,134.1670517,-1.297778
0.0536,-11.52,10.4,134.5328482,-1.3567528
0.0603,-10.12,10.47,134.7744321,-1.2884269
0.0702,-11.57,10.58,135.6084447,-1.2552823
0.0705,-10.02,10.57,135.6019923,-1.2621718
0.0401,-9.725,10.47,135.8775114,-1.3803525
0.097,-10.77,10.67,136.3748631,-1.2663781
0.0949,-10.47,10.31,136.4917084,-1.4149517
0.0951,-10.42,10.58,136.5794626,-1.4195695
0.0879,-10.32,10.73,136.60600538,-1.4067667
0.0784,-9.975,10.44,136.9916504,-1.4110751
0.0902,-10.77,10.65,138.5440798,-1.4875551
0.0772,-9.825,10.32,138.5717198,-1.3911014
0.0548,-9.725,10.26,138.7641641,-1.4557356
0.0551,-12.82,10.8,138.8360802,-1.4233928
0.0555,-12.57,10.71,138.8359533,-1.5089864
0.0548,-10.77,11.03,138.9155011,-1.3470661
0.0539,-10.92,10.47,139.0087318,-1.3409584
0.0737,-9.975,10.62,139.4789416,-1.4602306
0.0959,-10.72,10.52,139.6200802,-1.4007936
0.0703,-10.32,10.31,139.8839737,-1.529376
0.0698,-10.72,10.42,139.8689538,-1.5266448
0.07,-9.975,10.52,132.2795618,-0.8606283
0.0865,-12.22,10.26,132.5547789,-0.8940241
0.0774,-12.17,10.47,132.7808811,-0.8404759
0.0766,-10.22,10.23,132.7754289,-0.839447
0.0788,-10.17,10.73,133.490155,-0.8624618
0.0699,-12.57,10.89,134.4415013,-0.8994942
0.0697,-12.07,10.21,134.4485026,-0.9006871
0.0703,-12.37,10.66,134.4560812,-0.899134
0.071,-11.57,11.07,134.4612491,-0.9214529
0.0709,-12.37,11.1,134.4748629,-0.8776661
0.0891,-10.57,10.84,135.2555282,-0.9286627
0.098,-12.37,10.94,136.3301018,-1.007172
0.0972,-10.87,11.05,136.3427142,-0.9909684
0.0975,-10.57,10.36,136.3412823,-1.0220665
0.0947,-9.625,10.62,136.7042199,-1.0188494
0.0881,-10.77,10.75,137.210998,-1.0375915
0.0884,-11.97,10.93,137.2661997,-0.9945033
0.0549,-9.925,10.21,137.8934483,-0.8651157
0.0702,-11.87,10.96,139.4467843,-0.9858531
0.0959,-9.275,10.23,139.9805525,-0.9980244
0.0859,-10.37,10.65,129.009817,-1.76962286
0.085,-12.57,10.77,129.0034914,-1.7291922
0.0532,-10.82,11.13,129.3063047,-1.6486286
0.0316,-10.92,10.21,129.3120758,-1.6488518
0.0525,-12.12,11.15,129.3995842,-1.6748332
0.0522,-10.52,10.47,129.391689,-1.6709132
0.0527,-11.72,10.25,129.4315852,-1.6399481
0.0858,-12.07,10.96,129.3251294,-1.6941821
0.0497,-12.02,10.25,129.9019365,-1.6464845
0.0399,-9.775,10.24,130.5076841,-1.753892
0.0861,-9.775,10.36,130.525595,-1.6959487
0.049,-12.37,11.18,130.788285,-1.7391575
0.0486,-10.12,10.42,131.2072623,-1.7682551
0.0563,-10.67,10.82,132.5279503,-1.7966168
0.0485,-12.57,10.81,132.5277259,-1.8725605
0.0771,-10.67,11.09,133.19008185,-1.81496484
0.0769,-10.22,10.43,133.18807394,-1.81936275
0.0484,-10.27,11.2,133.6878587,-1.8860902
0.0896,-9.725,10.63,135.2362338,-1.8787598
0.0968,-10.32,10.28,136.0817066,-1.9965623
0.0885,-9.425,10.51,137.117879,-1.9679573
0.0703,-12.62,10.74,137.6121202,-1.9994285
0.0903,-11.02,10.56,137.9792228,-1.9616115
0.0549,-11.32,10.49,138.0019964,-1.9209213
0.0556,-11.02,10.31,139.1389664,-1.9828526
0.0413,-10.52,10.25,129.0916008,-1.2706723
0.0848,-12.27,10.81,129.0764645,-1.3221382
0.051,-11.87,10.38,129.4008065,-1.3901316
0.0527,-10.17,10.54,129.5152252,-1.3095182
0.0825,-11.12,10.43,129.5677172,-1.2292334
0.05,-12.72,10.79,129.8394493,-1.3863534
0.0823,-10.92,10.57,129.9850289,-1.350858
0.0818,-10.77,10.28,130.0197147,-1.3476625
0.0996,-12.22,10.41,130.4125087,-1.2991786
0.0917,-12.22,10.68,131.706751,-1.4370433
0.0892,-9.275,10.43,131.735736,-1.4358937
0.0811,-11.72,10.22,131.7985047,-1.3414532
0.0904,-12.12,10.72,131.7833635,-1.3615966
0.0902,-10.87,10.25,131.8159779,-1.3525741
0.0907,-12.07,10.46,131.848446,-1.4350793
0.0914,-11.17,10.39,131.8581388,-1.4048414
0.0905,-12.22,11.02,131.8696823,-1.4027006
0.0776,-9.725,10.34,131.9712168,-1.3857145
0.0565,-11.17,10.6,132.3866427,-1.3459349
0.0971,-10.32,10.69,132.9491969,-1.3694676
0.0998,-12.97,11.01,133.126237,-1.4391099
0.0787,-11.52,10.36,133.2368613,-1.402606
0.0824,-10.42,10.76,133.7551492,-1.5543849
0.0596,-10.17,10.67,134.2674561,-1.4680591
0.0594,-12.57,10.39,134.3752647,-1.3931849
0.0898,-11.12,10.81,135.2301843,-1.4644833
0.0467,-10.27,10.33,135.7269573,-1.5823501
0.0865,-10.47,10.34,135.9299788,-1.5877195
0.0961,-11.62,10.28,136.2583328,-1.6383075
0.096,-11.32,10.57,136.3064808,-1.5942199
0.095,-11.42,10.89,136.5030266,-1.5551731
0.0701,-10.22,10.37,136.5944937,-1.6322965
0.0699,-10.07,10.52,136.8009478,-1.4755603
0.0471,-10.02,10.77,137.0960795,-1.6114625
0.0887,-10.47,10.42,137.5154261,-1.5320231
0.0916,-12.22,10.52,137.5521164,-1.5608165
0.0884,-9.525,10.36,137.5649811,-1.5093344
0.0399,-12.22,10.78,137.7095335,-1.5492421
0.0885,-12.37,10.69,137.7855431,-1.6781881
0.0466,-12.37,10.27,138.0046306,-1.7054574
0.0903,-9.775,10.39,138.2438113,-1.58066
0.0901,-10.12,10.27,138.2963592,-1.5680948
0.0887,-9.975,10.31,138.6322875,-1.5771529
0.0712,-10.67,10.63,138.7346382,-1.5247983
0.0709,-12.57,10.51,138.9588797,-1.532455
0.0697,-11.92,10.48,138.9055062,-1.527565
0.0713,-10.77,10.39,138.9195202,-1.6362758
0.0718,-12.07,10.44,138.9763695,-1.5421847
0.0541,-12.32,10.59,139.2265498,-1.6750888
0.0881,-9.675,10.26,139.5511814,-1.6116296
0.0693,-11.92,10.83,139.762165,-1.690197
0.0792,-10.82,10.38,129.3935458,-0.8641668
0.0307,-10.07,10.26,129.4380053,-0.861594
0.0812,-10.12,10.55,129.4486813,-0.9006553
0.081,-9.925,10.37,129.5801959,-0.8158035
0.0516,-10.62,10.47,130.2155683,-0.9034356
0.0569,-11.77,10.24,130.3883283,-0.8282739
0.0795,-12.52,10.49,130.8166683,-0.8853539
0.0699,-10.87,11.15,131.9019171,-0.9541406
0.0974,-11.92,10.35,132.8806532,-1.0326895
0.0688,-9.875,10.63,133.7310894,-1.0554706
0.0916,-11.82,10.44,133.7993737,-1.0558186
0.0769,-11.42,10.43,134.1320505,-1.0135886
0.0767,-12.07,10.36,134.14079,-0.9821864
0.0393,-10.22,10.61,134.3365276,-0.9751176
0.0598,-9.975,10.29,134.4635233,-1.1136175
0.0396,-11.07,10.79,135.87852181,-1.10326572
0.0406,-10.27,10.45,135.90387676,-1.13015977
0.0406,-11.92,10.32,135.8841621,-1.1012886
0.0868,-10.57,10.67,136.0180395,-1.033207
0.0977,-11.82,10.99,136.2849648,-1.148262
0.0965,-12.22,10.97,136.2891469,-1.182007
0.0979,-10.42,10.32,136.2703158,-1.082491
0.0969,-10.77,10.33,136.2964074,-1.2013806
0.0936,-12.47,10.54,136.6508444,-1.1509693
0.0946,-11.87,11.08,136.6552074,-1.1410439
0.0705,-10.22,10.4,136.7878018,-1.0572915
0.0535,-9.875,10.24,136.903119,-1.1903878
0.0933,-10.67,10.61,137.1345277,-1.1240031
0.0931,-10.62,10.27,137.1638229,-1.1892787
0.0276,-10.12,10.4,137.32095128,-1.16636402
0.0704,-12.37,10.36,137.3837147,-1.0814808
0.0882,-10.27,10.52,137.6320391,-1.1778791
0.0702,-10.97,10.6,138.3738021,-1.0925672
0.0555,-10.02,10.83,138.573773,-1.2137303
0.0548,-12.32,10.53,138.8742998,-1.2996709
0.0816,-12.42,10.25,138.1609041,-0.8696298
