1.025000000000000000e+01,1.245502734860206351e+00,1.323131672597864794e+00,3.009636001963367224e-01,2.516271421152847854e+00,8.292358803986710214e-01,3.714492753623188204e+00
1.034999999999999787e+01,1.154186154712638190e+00,1.110320284697509097e+00,7.268270944741533901e-01,1.461663443825302666e+00,3.743078626799556385e-01,2.446500000000000341e+00
1.044999999999999929e+01,1.005224217981930623e+00,1.034837984641318709e+00,8.736246849837113748e-01,1.214129315865889014e+00,6.182899108235706542e-01,1.339080459770114917e+00
1.055000000000000071e+01,1.274575623704555349e+00,8.707422470767665068e-01,1.745588881138752990e+00,1.223810062421795797e+00,1.153773137161841600e+00,1.294444444444444287e+00
1.064999999999999858e+01,1.220173005619604734e+00,7.537069988137603538e-01,1.813781899411087695e+00,9.748213367261306939e-01,1.162513842746400794e+00,9.093881856540082520e-01
1.075000000000000000e+01,9.704756918579319214e-01,7.663107947805456455e-01,1.104041156163270809e+00,5.901529529976554667e-01,1.016611295681063121e+00,6.390295358649787927e-01
1.084999999999999787e+01,8.295809297590769349e-01,4.103357573882098208e-01,1.038324420677361859e+00,4.504875535119707841e-01,1.276903076700852235e+00,2.678160919540230056e-01
1.094999999999999929e+01,6.604884204275534021e-01,1.415658362989324015e+00,6.389688742629919815e-01,5.133462819089900098e-01,9.691694352159469616e+00,9.957264957264957972e-02
1.105000000000000071e+01,5.432806504659236646e-01,7.864768683274020455e-01,3.830711454926190029e-01,4.351758119793636137e-01,1.125802879291251379e+01,0.000000000000000000e+00
1.114999999999999858e+01,7.004279460552402803e-01,7.864768683274020455e-01,1.361736945150638645e-01,2.909164289448821772e-01,2.936877076411960275e+00,6.366120218579235379e-02
