1.0 61047005.91476821
2.0 60772639.70355037
3.0 60608019.97681967
4.0 60502883.15650445
5.0 60460397.61830615
6.0 60268135.67123328
7.0 58908714.13821421
8.0 56643011.58318242
9.0 53412049.94638853
10.0 51473472.9643122
11.0 49647579.78237934
12.0 49771549.830558166
13.0 52465233.349742815
14.0 52375793.942626
15.0 52226728.264097966
16.0 54056510.227117375
17.0 55154379.40492901
18.0 62327648.35801299
19.0 64660710.25075903
20.0 73818874.54689729
21.0 75209431.60016549
22.0 77527026.68894581
23.0 78348967.40857087
24.0 78842131.8403459
25.0 80135520.64170022
26.0 80678125.66439947
27.0 83182972.02193987
28.0 84513959.16689569
29.0 86732271.07515538
30.0 88109104.80192241
31.0 88935205.03798264
32.0 90487613.49906966
33.0 90878257.70519045
34.0 92060358.68694906
35.0 92577081.25380982
36.0 93438285.53191109
37.0 94175065.94404566
