1.0 1.9842008356244998e-18
2.0 1.9735560414516295e-18
3.0 1.9671691649479074e-18
4.0 1.962324295795097e-18
5.0 1.9602186711725543e-18
6.0 1.9503241679675663e-18
7.0 1.9443070327064225e-18
8.0 1.9342784739378494e-18
9.0 1.9340477050941866e-18
10.0 1.933909243787989e-18
11.0 2.0075746397645305e-18
12.0 2.090232388134628e-18
13.0 2.59517123074877e-18
14.0 2.5808227626659297e-18
15.0 2.5569086491945293e-18
16.0 2.403300843936046e-18
17.0 2.3111361607809564e-18
18.0 2.2844491003410475e-18
19.0 2.2387480188696156e-18
20.0 1.945527509009502e-18
21.0 1.7081395635006242e-18
22.0 1.3124929876524946e-18
23.0 1.0816281895632748e-18
24.0 9.431093107097431e-19
25.0 8.788096800042977e-19
26.0 8.69684139658856e-19
27.0 8.701049879462101e-19
28.0 8.655965150607139e-19
29.0 8.5808239358488675e-19
30.0 8.268097897975606e-19
31.0 8.080462275251648e-19
32.0 7.318797713374849e-19
33.0 7.087796959800828e-19
34.0 6.232456246659475e-19
35.0 6.004024196694288e-19
36.0 5.623304113418976e-19
37.0 5.277869321234572e-19
